,owner,first_appearance,last_activity,inputBTC,inputEUR,outputBTC,outputEUR,number_of_transactions,avg_volume_per_transaction
0,1,1544466028.493,1544466028.493,0.059897,5462.15,0.6032216,1255.0,33.0,0.02009450303030303
1,2,1544518972.784,1544521393.5059998,7.24257591,51579.06,6.051148850000001,93156.59,63.0,0.21101150412698413
5,3,1544523185.5059998,1544621089.202,0.03196347,154.64,0.03178389,202.23000000000002,8.0,0.00796842
15,4,1544627289.72,1544627289.72,0.01500878,128.92000000000002,0.014626960000000001,80.89,6.0,0.00493929
16,5,1544627698.959,1544695812.7900002,0.9885114899999999,1509.04,0.26153102,5448.76,30.0,0.04166808366666666
19,6,1553588040.811,1553588040.811,0.13491184,0.0,0.0,475.0,3.0,0.04497061333333333
20,7,1553589671.553,1553589671.553,1.5852293100000003,0.0,0.0,13652.78,24.0,0.06605122125000001
21,8,1553590763.754,1553590763.754,0.056999999999999995,50.0,0.01083961,236.64,3.0,0.02261320333333333
22,9,1553591123.6929998,1553591123.6929998,0.44628051999999996,4422.0,0.43651449000000003,4099.07,39.0,0.022635769487179484
23,10,1553593132.2,1553593132.2,0.15578958,795.26,0.08186142999999999,851.9300000000001,17.0,0.013979471176470588
24,11,1553593162.412,1553593162.412,2.98517227,350.0,0.07739272,11452.0,8.0,0.38282062375000003
25,12,1553594106.592,1553594106.592,0.0,2616.98,0.73197432,0.0,2.0,0.36598716
26,13,1553594603.112,1553594603.112,35.32465943000001,98650.36,11.144957940000001,293509.76999999996,236.0,0.19690515834745767
27,14,1553595422.277,1553595422.277,0.053672160000000003,340.93,0.056154220000000005,350.53000000000003,19.0,0.0057803357894736845
28,15,1553596891.536,1553596891.536,1.5371401,484.31,0.05466183,11642.02,14.0,0.11370013785714285
29,16,1553599305.7849998,1553599305.7849998,0.25980732,2100.0,0.27433553999999993,2350.0,18.0,0.029674603333333334
30,17,1553599442.633,1553599442.633,0.7930000000000001,0.0,0.0,3333.5600000000004,4.0,0.19825000000000004
31,18,1553599688.972,1553599688.972,0.0,2245.79,0.2576812,0.0,12.0,0.021473433333333333
32,19,1553602147.973,1553602147.973,0.0,5000.0,1.43465159,0.0,1.0,1.43465159
33,20,1553603847.952,1553604666.67,0.75214421,99499.0,4.969910389999999,20000.0,21.0,0.27247879047619045
35,21,1553605192.813,1553609628.85,2.90414799,2770.17,0.23112789000000003,18293.95,41.0,0.07647014341463415
37,22,1553610424.293,1553610424.293,2.11323339,27525.38,3.1239058999999996,17833.91,90.0,0.05819043655555556
38,23,1553614954.815,1553614954.815,5.219,0.0,0.0,39185.09999999999,26.0,0.20073076923076924
39,24,1553615021.7649999,1553615021.7649999,2.77800371,37409.19,3.27180318,36705.229999999996,37.0,0.16350829432432432
40,25,1553616889.007,1553616889.007,1.1178743899999999,0.0,0.0,8132.67,25.0,0.0447149756
41,26,1553618079.99,1553620834.67,0.0,10923.449999999999,1.60296874,0.0,13.0,0.12330528769230768
43,27,1553622580.532,1553622580.532,2.3560263699999995,9808.720000000001,1.5140431700000003,17174.520000000008,139.0,0.02784222690647482
44,28,1553623486.33,1553623486.33,1.2825249899999998,0.0,0.0,9472.39,100.0,0.012825249899999997
45,29,1553623487.513,1553623487.513,1.877,0.0,0.0,6799.19,9.0,0.20855555555555555
46,30,1553623553.9169998,1553623553.9169998,9.971,0.0,0.0,66635.95000000001,28.0,0.35610714285714284
47,31,1553624125.276,1553624125.276,7.26886397,116.0,0.02543939,52091.26000000001,30.0,0.24314344533333332
48,32,1553624554.852,1553624554.852,0.4,8340.0,0.9274623799999999,11734.66,22.0,0.060339199090909096
49,33,1553624950.1699998,1553624950.1699998,0.0125314,19.5,0.00425944,45.0,3.0,0.005596946666666667
50,34,1553625180.773,1553625180.773,0.0704,590.0,0.1223566,489.64,3.0,0.0642522
51,35,1553625501.569,1553625501.569,1.92536471,32653.34,3.7464309899999995,33178.77,95.0,0.059703112631578945
52,36,1553626823.2099998,1553626823.2099998,0.02138848,43.43,0.00936778,116.12,3.0,0.010252086666666667
53,37,1553626865.99,1553626865.99,0.0,300.0,0.05093302,0.0,2.0,0.02546651
54,38,1553627063.29,1553627063.29,1.5117,16370.0,1.8972710799999999,12460.07,17.0,0.20052771058823526
55,39,1553627643.576,1553627643.576,0.0,13929.43,3.1033127699999996,0.0,3.0,1.0344375899999998
56,40,1553628243.332,1553628243.332,0.0,13830.0,2.01709069,0.0,10.0,0.201709069
57,41,1553628871.793,1553628871.793,0.038,15090.0,4.275414,342.45,3.0,1.4378046666666666
58,42,1553631606.871,1553631606.871,1.3330873699999999,0.0,0.0,11573.820000000002,36.0,0.03703020472222222
59,43,1553631661.651,1553631661.651,0.03775384,1600.0,0.37585017,174.31,3.0,0.13786800333333332
60,44,1553633691.6990001,1553633804.5310001,2.12971999,0.0,0.0,12375.249999999998,16.0,0.133107499375
62,45,1553634064.151,1553634064.151,1.784,0.0,0.0,6460.54,7.0,0.25485714285714284
63,46,1553648596.124,1553648596.124,0.01746054,0.0,0.0,60.0,1.0,0.01746054
64,47,1553666581.228,1553666581.228,0.3918798,695.48,0.08085751,1915.48,7.0,0.06753390142857142
65,48,1553666819.783,1553666819.783,6.586593919999995,8230.0,0.82821223,63436.42,96.0,0.07723756406249994
66,49,1553669255.4899998,1553669255.4899998,6.24628,0.0,0.0,24087.440000000002,3.0,2.0820933333333334
67,50,1553676830.711,1553676830.711,0.8091024400000001,0.0,0.0,4302.13,4.0,0.20227561000000002
68,51,1553678390.793,1553678390.793,0.02289344,315.0,0.05178186,731.0,9.0,0.008297255555555556
69,52,1553680021.452,1553680021.452,1.5077669200000001,13674.42,1.5821346699999996,11639.48,61.0,0.050654124426229505
70,53,1553681904.731,1553681904.731,0.5,3286.05,0.18388127,4438.889999999999,10.0,0.06838812699999999
71,54,1553683189.052,1553683189.052,1.9295209600000003,20494.34,1.54606692,16426.329999999998,36.0,0.09654410777777778
72,55,1553687290.743,1553687290.743,1.1044354900000002,0.0,0.0,4622.29,7.0,0.1577764985714286
73,56,1553687485.551,1553687485.551,1.88513776,20000.0,4.06993649,50000.0,6.0,0.992512375
74,57,1553692417.792,1553692417.792,0.005,0.0,0.0,17.53,1.0,0.005
75,58,1553692428.211,1553692428.211,0.0,35.0,0.006903970000000001,0.0,2.0,0.0034519850000000003
76,59,1553692477.7350001,1553693870.523,2.8010952000000002,12083.65,2.40156428,13451.369999999999,140.0,0.03716185342857143
80,60,1553697029.485,1553697029.485,0.8738,725.0,0.19796949,3063.24,4.0,0.2679423725
81,61,1553697585.528,1553698681.812,1.5190000000000001,0.0,0.0,5458.18,7.0,0.21700000000000003
83,62,1553699664.85,1553699664.85,4.341835060000002,47095.0,4.296476859999999,44516.46,170.0,0.05081359952941177
84,63,1553700255.172,1553700255.172,0.9953053600000001,3099.22,0.19764307,5812.289999999997,126.0,0.009467844682539684
85,64,1553700296.007,1553700296.007,0.33312468,5357.33,0.26440838,9642.78,21.0,0.028453955238095234
86,65,1553702492.6460001,1553702492.6460001,1.699,0.0,0.0,9139.07,5.0,0.3398
87,66,1553702631.393,1553702944.387,2.9784832399999996,16042.309999999998,2.3132270200000002,19516.43,43.0,0.12306302930232559
89,67,1553704018.656,1553704018.656,0.37,220.09,0.060855200000000005,1295.98,2.0,0.2154276
90,68,1553704652.6579998,1553704652.6579998,2.0724297300000005,12599.96,1.88194544,13683.85,18.0,0.21968750944444448
91,69,1553704655.328,1553704655.328,0.7605148400000002,185.32,0.01688941,6434.28,119.0,0.006532808823529414
92,70,1553704986.007,1553704986.007,0.0,577.0,0.16026294,0.0,3.0,0.05342098
93,71,1553705111.106,1553705450.74,1.4395000000000002,0.0,0.0,5101.4,6.0,0.2399166666666667
96,72,1553705453.5649998,1553706245.461,0.0,328.15,0.07877546,0.0,6.0,0.013129243333333334
98,73,1553706461.2419999,1553706461.2419999,22.060556120000005,25251.0,3.61136225,165440.20000000004,269.0,0.09543464078066916
99,74,1553708620.3660002,1553708620.3660002,0.05979670000000001,9446.169999999998,1.3540542,912.0,54.0,0.026182424074074073
100,75,1553709524.016,1553709524.016,0.145,0.0,0.0,508.26,1.0,0.145
101,76,1553709730.527,1553709730.527,0.57004422,3481.74,0.40152957999999994,3988.51,41.0,0.023696921951219512
102,77,1553712471.268,1553715163.428,0.14550000000000002,294.68,0.08202876,542.67,3.0,0.07584292000000001
106,78,1553715379.915,1553715379.915,0.0,52.22,0.01429611,0.0,1.0,0.01429611
107,79,1553716112.0470002,1553716112.0470002,0.0,20.0,0.00530452,0.0,1.0,0.00530452
108,80,1553717395.3059998,1553717547.208,0.0,3933.69,0.38480231000000015,0.0,37.0,0.010400062432432437
110,81,1553719921.91,1553719921.91,0.63651544,2990.2000000000003,0.47834345,3850.24,29.0,0.038443410000000004
111,82,1553721200.486,1553721200.486,7.267744449999997,0.0,0.0,51772.52999999998,59.0,0.12318210932203384
112,83,1553722102.5500002,1553722102.5500002,0.6868153100000001,7611.26,0.58704175,6169.61,28.0,0.045494895
113,84,1553725974.0860002,1553726067.006,0.027000000000000003,200.0,0.03766203,185.74,3.0,0.021554010000000002
115,85,1553726160.4540002,1553726594.3630002,0.6895,0.0,0.0,2419.6499999999996,2.0,0.34475
119,86,1553726786.368,1553728321.6009998,0.12306679000000002,15.0,0.00298019,790.7,16.0,0.007877936250000002
121,87,1553728763.442,1553762686.023,1.8444840599999996,6124.4,0.47637903,27338.280000000002,31.0,0.07486655129032256
129,88,1553764645.4220002,1553764645.4220002,0.20252228,6480.220000000001,0.57529586,4964.96,32.0,0.024306816874999998
130,89,1553765981.405,1553765981.405,0.04109644999999999,62.67,0.00761011,456.48,12.0,0.00405888
131,90,1553767313.32,1553767313.32,0.024593579999999997,230.68,0.02502612,288.78,4.0,0.012404924999999999
132,91,1553772541.407,1553774766.5809999,11.051272100000002,1400.0,0.18027783,114812.07,18.0,0.6239749961111112
136,92,1553776393.0579998,1553776393.0579998,1.6869999999999998,0.0,0.0,7585.599999999999,11.0,0.15336363636363634
137,93,1553777081.92,1553777081.92,0.532,0.0,0.0,1868.52,1.0,0.532
138,94,1553777250.018,1553777250.018,0.013000000000000001,25088.35,3.0304426000000007,45.65,30.0,0.10144808666666669
139,95,1553777698.181,1553777698.181,0.29459033,2500.0,0.43937998,1443.35,5.0,0.146794062
140,96,1553780622.201,1553782556.8339999,0.0,6580.0,0.73815092,0.0,8.0,0.092268865
144,97,1553783167.099,1553783167.099,0.74,1007.35,0.28,4031.47,3.0,0.34
145,98,1553783228.721,1553783369.864,0.0,22272.03,4.071187940000001,0.0,12.0,0.3392656616666667
147,99,1553784152.901,1553784401.293,0.0,12866.970000000003,1.7205573800000007,30.59,77.0,0.022344901038961047
149,100,1553784544.701,1553784554.7870002,0.0,2120.0,0.5143149499999999,0.0,2.0,0.25715747499999997
151,101,1553784827.458,1553789842.8769999,0.0,3280.0,0.38090144000000004,0.0,15.0,0.025393429333333335
154,102,1553790020.598,1553790287.239,0.0,15000.0,3.10121579,0.0,8.0,0.38765197375
156,103,1553790319.019,1553790319.019,0.0792619,1661.8899999999999,0.29745165,500.0,4.0,0.0941783875
157,104,1553791650.0110002,1553791650.0110002,0.0,63300.0,8.19945776,0.0,10.0,0.819945776
158,105,1553793455.82,1553793455.82,2.581,0.0,0.0,10180.230000000001,12.0,0.21508333333333332
159,106,1553793789.799,1553794545.288,2.404,0.0,0.0,9656.43,13.0,0.1849230769230769
162,107,1553796467.1929998,1553799113.793,6.242849349999999,28224.1,3.88360762,47489.259999999995,23.0,0.44028073782608695
164,108,1553799264.809,1553807836.216,0.67396986,9535.570000000002,1.0361071,6624.57,35.0,0.04885934171428571
170,109,1553809732.1699998,1553809732.1699998,0.0,750.0,0.11110217,4067.54,12.0,0.009258514166666667
171,110,1553811074.4329998,1553812760.492,3.34223171,0.0,0.0,11877.189999999999,2.0,1.671115855
174,111,1553822612.736,1553822612.736,0.05576617,4040.16,0.6005783100000001,351.78999999999996,41.0,0.01600840195121951
175,112,1553834681.1950002,1553834681.1950002,0.0765,1246.75,0.1331769,358.84,12.0,0.017473075
176,113,1553839478.359,1553839478.359,0.06774977,270.0,0.05838347,550.0,3.0,0.042044413333333336
177,114,1553839617.379,1553839617.379,0.07229542,800.0,0.08706785999999998,649.81,10.0,0.015936328
178,115,1553846109.6780002,1553851348.144,5.0459772,13514.05,1.505,30308.18,7.0,0.9358538857142857
185,116,1553851829.823,1553851829.823,0.9396321299999999,3518.44,0.5279820900000001,11927.7,15.0,0.097840948
186,117,1553852008.978,1553852008.978,1.7775736199999999,2375.12,0.57732945,9250.409999999998,9.0,0.26165589666666667
187,118,1553852189.041,1553852189.041,0.18525896,1237.78,0.15403811,1311.77,8.0,0.04241213375
188,119,1553853360.981,1553853360.981,3.3523536600000003,88161.18,11.592806160000002,27855.559999999998,10.0,1.4945159820000002
189,120,1553854552.263,1553854803.723,0.06064432,3308.17,0.5720243699999998,551.22,16.0,0.03954179312499999
191,121,1553855119.8620002,1553855119.8620002,0.7494813100000003,0.0,0.0,5449.26,13.0,0.05765240846153848
192,122,1553855746.763,1553855746.763,0.26681986,2245.58,0.26934833,2252.66,12.0,0.044680682500000006
193,123,1553855972.541,1553855972.541,0.13668716,556.74,0.06935747999999999,1564.01,20.0,0.010302232
194,124,1553856266.7870002,1553856266.7870002,2.4818999999999996,0.0,0.0,10096.060000000001,22.0,0.11281363636363634
195,125,1553858400.965,1553859147.763,0.0,1200.0,0.328347,0.0,1.0,0.328347
198,126,1553859580.5670002,1553860214.0419998,0.12901079999999998,7600.0,1.5770485899999998,1251.4,9.0,0.1895621544444444
200,127,1553861400.33,1553863444.184,0.8673025799999999,0.0,0.0,3457.13,5.0,0.17346051599999998
203,128,1553863909.663,1553863909.663,0.0,15000.0,4.10638502,0.0,1.0,4.10638502
