quoted_at,SARIMA,TBATS,LSTM,TS,LSTM_old,SARIMA_R2,TBATS_R2,LSTM_R2,,,,,,,-3,,,,,,
15/08/2020 00:00,0.184358491,0.833388785,0.0566562,1.24251333,-0.240769,0.354193199,0.326634689,0.460863589,,0.872,0.904,0.98,0.92,,,FALSE,,FALSE,,FALSE,0
15/08/2020 04:00,-0.245076825,0.432213179,-1.76605,0.86968979,-0.389929,0.407040312,0.40507735,0.533703253,,0.837,0.871,0.521,0.89,,,FALSE,0,FALSE,0,FALSE,0
15/08/2020 08:00,-2.044337394,-0.424756113,-3.17994,-1.46130362,-0.74433,0.346919357,0.399500263,0.486177946,,0.649,0.794,0.384,0.536,,,FALSE,0,TRUE,0,FALSE,0
15/08/2020 12:00,-1.838217314,-1.211892355,-2.27794,-3.36773902,-0.610142,0.387617614,0.398699615,0.509145539,,0.668,0.713,0.472,0.382,,,TRUE,1,TRUE,1,FALSE,0
15/08/2020 16:00,-0.913886535,-1.180016113,-1.1993,0.10183523,-0.328018,0.376705015,0.38418194,0.457637102,,0.774,0.718,0.584,0.8,,,FALSE,0,FALSE,0,FALSE,0
15/08/2020 20:00,1.455239937,1.079908664,-0.0594905,0.33138525,0.0734914,,,,,0.946,0.918,0.909,0.835,,,FALSE,0,FALSE,0,FALSE,0
16/08/2020 00:00,2.146906824,0.965440868,0.0530974,0.0772891,0.267672,,,,,0.963,0.913,0.976,0.793,,,FALSE,0,FALSE,0,FALSE,0
16/08/2020 04:00,0.975815085,0.106491096,-0.0215131,0.38938903,-0.0966532,,,,,0.924,0.844,0.936,0.84,,,FALSE,0,FALSE,0,FALSE,0
16/08/2020 08:00,-0.529818296,-1.494623985,-1.5748,-0.92181067,-0.713263,,,,,0.812,0.685,0.54,0.604,,,FALSE,0,FALSE,0,FALSE,0
16/08/2020 12:00,-1.718480515,-1.07175094,-1.77491,0.71329834,-0.587398,,,,,0.686,0.73,0.517,0.872,,,FALSE,0,FALSE,0,FALSE,0
16/08/2020 16:00,0.297186137,0.053136149,-1.0156,-0.56536559,-0.228795,,,,,0.881,0.837,0.605,0.654,,,FALSE,0,FALSE,0,FALSE,0
16/08/2020 20:00,-0.465772892,1.001948909,-0.0650668,-1.01286257,0.103369,,,,,0.82,0.915,0.9,0.594,,,FALSE,0,FALSE,0,FALSE,0
17/08/2020 00:00,-0.547469324,-0.04066676,0.0686011,-0.876804,0.224893,,,,,0.81,0.825,0.99,0.611,,,FALSE,0,FALSE,0,FALSE,0
17/08/2020 04:00,-0.771437252,-2.271955295,-1.22978,-0.18945922,-0.847377,,,,,0.79,0.618,0.581,0.73,,,FALSE,0,FALSE,0,FALSE,0
17/08/2020 08:00,-1.389559716,-3.845318492,-4.96878,-6.3464616,-3.61926,,,,,0.727,0.469,0.253,0.239,,,TRUE,1,TRUE,1,TRUE,0
17/08/2020 12:00,-2.805588354,-3.718924558,-3.50424,-0.26463514,-4.00778,,,,,0.539,0.481,0.35,0.711,,,FALSE,0,TRUE,0,TRUE,1
17/08/2020 16:00,-1.445184436,-1.553913403,-1.28755,-2.12225665,-1.48701,,,,,0.715,0.678,0.571,0.466,,,FALSE,0,TRUE,0,FALSE,0
17/08/2020 20:00,-2.205440243,0.115256704,0.0740428,-1.27026814,-0.465571,,,,,0.62,0.845,0.993,0.56,,,FALSE,0,FALSE,0,FALSE,0
18/08/2020 00:00,-2.143615544,-0.164444075,0.108459,1.34365059,-0.448301,,,,,0.628,0.814,0.998,0.929,,,FALSE,0,FALSE,0,FALSE,0
18/08/2020 04:00,-1.707770072,-2.067730401,0.0296879,-0.25231264,-1.62196,,,,,0.688,0.641,0.962,0.715,,,FALSE,0,FALSE,0,FALSE,0
18/08/2020 08:00,-2.871845676,-3.93137685,-2.30098,-8.64532834,-3.76343,,,,,0.53,0.46,0.47,0.167,,,TRUE,1,FALSE,0,TRUE,0
18/08/2020 12:00,-3.281291789,-4.322510217,-2.36706,-3.33795561,-4.61373,,,,,0.483,0.404,0.463,0.385,,,TRUE,0,FALSE,0,TRUE,0
18/08/2020 16:00,-2.778933321,-2.289499506,-2.10042,-5.45055029,-3.17893,,,,,0.542,0.614,0.488,0.274,,,TRUE,0,FALSE,0,FALSE,0
18/08/2020 20:00,-1.391728101,-0.974500799,-0.298206,1.51462081,-1.06011,,,,,0.726,0.737,0.802,0.937,,,FALSE,0,FALSE,0,FALSE,0
19/08/2020 00:00,-1.68615748,-1.045141944,-0.0454981,-0.11501505,-0.80482,,,,,0.69,0.734,0.924,0.746,,,FALSE,0,FALSE,0,FALSE,0
19/08/2020 04:00,-1.738297395,-3.347191021,-4.90057,-16.71587558,-3.40993,,,,,0.681,0.527,0.256,0.037,,,TRUE,1,TRUE,1,TRUE,0
19/08/2020 08:00,-6.690734229,-6.243259693,-10.2636,-12.01426293,-9.0216,,,,,0.196,0.232,0.058,0.097,,,TRUE,0,TRUE,0,TRUE,0
19/08/2020 12:00,-4.049649884,-6.465980881,-6.53106,-6.1584015,-7.80548,,,,,0.391,0.214,0.18,0.246,,,TRUE,0,TRUE,0,TRUE,0
19/08/2020 16:00,-4.130420535,-4.29483835,-3.9486,0.71728875,-3.57012,,,,,0.383,0.408,0.316,0.873,,,FALSE,0,TRUE,0,TRUE,1
19/08/2020 20:00,-1.27529273,-1.84895786,-1.15869,-1.80785718,-0.824104,,,,,0.737,0.655,0.587,0.502,,,FALSE,0,TRUE,0,FALSE,0
20/08/2020 00:00,-3.124266194,-0.758948939,0.0450216,-1.5560401,-0.759447,,,,,0.497,0.76,0.968,0.527,,,FALSE,0,FALSE,0,FALSE,0
20/08/2020 04:00,-4.337203779,-2.802336682,-4.08615,-4.94454805,-3.094,,,,,0.36,0.576,0.308,0.298,,,TRUE,1,TRUE,1,FALSE,0
20/08/2020 08:00,-5.35821174,-5.010917521,-9.99458,-11.8603632,-6.12679,,,,,0.288,0.329,0.067,0.1,,,TRUE,0,TRUE,0,TRUE,0
20/08/2020 12:00,-4.998414375,-5.560726036,-8.07844,0.14907948,-6.43199,,,,,0.311,0.283,0.116,0.811,,,FALSE,0,TRUE,0,TRUE,1
20/08/2020 16:00,-1.782828388,-2.641321018,-5.3252,-4.45603521,-2.25737,,,,,0.677,0.592,0.236,0.32,,,TRUE,1,TRUE,1,FALSE,0
20/08/2020 20:00,-2.318571189,-1.151428049,-2.39577,-0.62967871,-0.80332,,,,,0.602,0.719,0.46,0.645,,,FALSE,0,TRUE,0,FALSE,0
