date,coin,price_eur,market_cap_eur,volume_eur
01/01/2019,btc,3213.270509,56061092880,2603164201
02/01/2019,btc,3310.188226,57744060429,2346700545
03/01/2019,btc,3418.96928,59726264931,2881509359
04/01/2019,btc,3314.656701,57864607249,1984655025
05/01/2019,btc,3348.046536,58488649645,2588788136
06/01/2019,btc,3323.4952,57979591842,2425359212
07/01/2019,btc,3517.629616,61424919762,3011231216
08/01/2019,btc,3475.420368,60631949367,2927055534
09/01/2019,btc,3470.033929,60621540506,3041116272
10/01/2019,btc,3447.496599,60262218866,2796731984
11/01/2019,btc,3149.500557,55037207279,3602032790
12/01/2019,btc,3168.226044,55048643994,2845976904
13/01/2019,btc,3137.38669,54862288346,2141379832
14/01/2019,btc,3050.330433,53270214538,2334692181
15/01/2019,btc,3179.544037,55570120632,2703153343
16/01/2019,btc,3126.107449,54630027453,2588110279
17/01/2019,btc,3156.406672,55242341491,2415920039
18/01/2019,btc,3178.251142,55578077718,2676527488
19/01/2019,btc,3164.978724,55332097559,2330721042
20/01/2019,btc,3232.534422,56538197221,2434024700
21/01/2019,btc,3113.656958,54519342855,2587093725
22/01/2019,btc,3105.835969,54344944339,2253152963
23/01/2019,btc,3142.682738,54983905777,2392142870
24/01/2019,btc,3122.88242,54643219118,2339517516
25/01/2019,btc,3152.366268,55165463981,2222685458
26/01/2019,btc,3126.352825,54712861832,2264934428
27/01/2019,btc,3124.195942,54683698225,2233959072
28/01/2019,btc,3113.085327,54490014340,2525768250
29/01/2019,btc,3002.893539,52571092647,3014761563
30/01/2019,btc,2984.843258,52266509795,4254759690
31/01/2019,btc,3010.705807,52724291577,4330595806
01/02/2019,btc,2997.970933,52501366368,3782486721
02/02/2019,btc,3023.77582,52960076652,3286696148
03/02/2019,btc,3043.057055,53302376053,2889306391
04/02/2019,btc,3015.108964,52829522792,2074000766
05/02/2019,btc,3028.429316,53095999423,3894740316
06/02/2019,btc,3041.883169,53319707701,3203084371
07/02/2019,btc,2996.26795,52505062462,3704793014
08/02/2019,btc,2993.361405,52460679145,2908041418
09/02/2019,btc,3234.85389,56699587350,5555624302
10/02/2019,btc,3237.613688,56752156582,4311239061
11/02/2019,btc,3245.624681,56900182259,4486526415
12/02/2019,btc,3219.936507,56455320056,4828890101
13/02/2019,btc,3207.101343,56212884263,4882806921
14/02/2019,btc,3205.182959,56175670103,5003561450
15/02/2019,btc,3177.629676,55769433891,10597516856
16/02/2019,btc,3187.916117,55916086949,3989171629
17/02/2019,btc,3206.826809,56253835202,3558558256
18/02/2019,btc,3245.006564,56998603317,4378576295
19/02/2019,btc,3436.010325,60240853294,8477417167
20/02/2019,btc,3452.486778,60600838007,5264441283
21/02/2019,btc,3505.179254,61513659608,5621230948
22/02/2019,btc,3469.848476,60898918508,6030191795
23/02/2019,btc,3504.870856,61520602084,5291565089
24/02/2019,btc,3629.851512,63741260503,7491580385
25/02/2019,btc,3300.173636,58289132189,9798116146
26/02/2019,btc,3366.264589,59105587298,7964807177
27/02/2019,btc,3343.72434,58716468159,2626963620
28/02/2019,btc,3351.154544,59014802484,6794079699
01/03/2019,btc,3354.869173,58924335058,6706720576
02/03/2019,btc,3356.432559,59010270503,4859828627
03/03/2019,btc,3359.554124,59019091372,2894626556
04/03/2019,btc,3346.640205,58798293081,5933545752
05/03/2019,btc,3274.91593,57543750859,3182638748
